Product Name,Slug,Brand Name,SKU,HSN Code,Product Title,Subtitle / Tagline,Product Category,Product Sub-Category,Product Type,Skin/Hair Type,Net Quantity (Content),Unit Count (Pack of),Package Content Details,Inner Packaging Type,Outer Packaging Type,Net Weight (Product Only),Dead Weight (Packaging Only),discount,MRP,WEBSITE price,GST %,Country of Origin,Manufacturer / Packer / Importer,Key Ingredients,Ingredient Benefits,How to Use (Steps),Product Description (Long),Bullet Highlights (Short Desc.),Image Links,Video Links,Platform Category Mapping,Hazardous / Fragile (Y/N),Special Attributes (Badges)
Nefol shampoo + hair mask + face serum (Complete Glow Bundle ),nefol-shampoo-hair-mask-face-serum-complete-glow-bundle,NEFOL,NC2476,33059090,"Nefol Complete Glow Bundle – Shampoo, Hair Mask & Face Serum for Total Care",Skin & Hair Radiance Combo,combo packs,Shampoo + Mask + Serum,Hair & Skin Care,"All Hair Types (straight, wavy, curly, coily)",300ml+300ml+30ml=630ml,Pack Of 3,Hair & Skin Care,Pump Bottle (Plastic)+plastic bottle,Carton Box / Polybag,630ML,,30%,2467.0,1553.0,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Tea Tree, Biotin, Saw Palmetto & Aprajita (Blue Tea), Shea Butter, Quinoa, Olive Squalane &  Aprajita (Blue Tea), Green Tea, White Tea, Brahmi","Strengthens scalp, smoothens texture, hydrates","Apply gently on scalp, rest, and rinse",Hydrating and repairing combo for dull scalp and frizzy hair,• Frizz control • Nourishing repair • Soft finish,,,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Nefol shampoo + hair mask + Nefol anytime cream- (Hair & Body revamp duo),nefol-shampoo-hair-mask-nefol-anytime-cream-hair-body-revamp-duo,NEFOL,NC2477,33059090,"Nefol Hair & Body Revamp Duo – Shampoo, Hair Mask & Anytime Cream for Smooth Hair & Skin",Revitalize & Condition,combo packs,Shampoo + Cream,Hair & Body Care,"All Hair Types (straight, wavy, curly, coily)",300ml+300ml+50gmml=650gm,Pack Of 3,Hair & Body Care,Glass jar+Pump Bottle,Carton Box / Polybag,650GM,,30%,2277.0,1433.0,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Tea Tree, Biotin, Saw Palmetto & Aprajita (Blue Tea), Shea Butter, Quinoa, Olive Squalane & Aprajita (Blue Tea), Yellow Dragon Fruit, Saffron, Kale Leaf","Repairs damage, boosts shine, smoothens hair","Use on damp hair, leave 10–15 min, rinse",Repair-focused formula that improves shine and texture,• Shine therapy • Restores hair strength • Smooth feel,,,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Nefol shampoo + Nefol hair mask + face scrub -(Hair & Deep Clean Combo),nefol-shampoo-nefol-hair-mask-face-scrub-hair-deep-clean-combo,NEFOL,NC2478,33059090,"Nefol Hair & Deep Clean Combo – Shampoo, Hair Mask & Scrub for Fresh, Revived Look",Deep Clean & Nourish,combo packs,Shampoo + Mask + Scrub,Hair & Face Care,"All Hair Types (straight, wavy, curly, coily)",300ml+300ml+50gmml=650gm,Pack Of 3,Hair & Face Care,Glass jar+Pump Bottle,Carton Box / Polybag,650GM,,30%,2224.0,1400.0,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Tea Tree, Biotin, Saw Palmetto & Aprajita (Blue Tea), Shea Butter, Quinoa, Olive Squalane & Aprajita (Blue Tea), Papaya Extract, Rice Powder, Tapioca Starch","Strengthens hair, adds glow, improves scalp health","Apply, rest for 15–20 min, rinse off",Revitalizing blend that energizes scalp and adds brilliance,• Natural shine • Healthy scalp • Nourishing oils,,,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Nefol shampoo + Nefol face mask -(Cleanse & Treat Duo).,nefol-shampoo-nefol-face-mask-cleanse-treat-duo,NEFOL,NC2479,33059090,Nefol Cleanse & Treat Duo – Shampoo & Face Mask for Hair & Skin Detox,Hair & Face Treatment,combo packs,Shampoo + Mask,Hair & Face Care,"All Hair Types (straight, wavy, curly, coily)",300ml+50gm=350gm,Pack Of 2,Hair & Face Care,Plastic jar+Pump Bottle,Carton Box / Polybag,350GM,,30%,1438.0,905.0,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Tea Tree, Biotin, Saw Palmetto & Aprajita (Blue Tea), Charcoal, Kaolin Clay, AHA & BHA","Repairs, exfoliates, improves texture","Apply gently on roots, rinse after 20 min",Balanced combo for scalp detox and repair,• Detox & repair • Improves texture • Gentle exfoliation,,,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Nefol hair oil + furbish scrub-( Hair Oil & Furbish Duo ),nefol-hair-oil-furbish-scrub-hair-oil-furbish-duo,NEFOL,NC2480,33059090,Nefol Hair & Skin Polish Duo – Hair Oil & Furbish Scrub for Nourished Glow,Nourish & Smooth,combo packs,Oil + Scrub,Hair Care,"All Hair Types (straight, wavy, curly, coily)",200ml+50gm=250gm,Pack Of 2,Hair Care,Glass jar+Plastic Oil Bottle,Carton Box / Polybag,250GM,,30%,1435.0,903.0,18,INDIA,COSMETIFY,"Sesame, Amla, Flaxseed, Coconut, Mustard, Argan Oils & Aprajita (Blue Tea), Papaya Extract, Rice Powder, Tapioca Starch","Clarifies scalp, removes buildup, purifies roots","Massage gently, rest 15 min, wash",Detox treatment for oily and flaky scalp,• Scalp detox • Oil control • Root purification,,,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Nefol hair oil + face mask (Hair & Skin Detox Duo),nefol-hair-oil-face-mask-hair-skin-detox-duo,NEFOL,NC2481,33059090,"Nefol Hair Oil & Face Detox Duo – Nourish Hair, Detoxify Skin",Purify & Nourish Combo,combo packs,Oil + Mask,Hair & Skin Care,"All Hair Types (straight, wavy, curly, coily)",200ml+50gm=250gm,Pack Of 2,Hair & Skin Care,Plastic jar+Plastic Oil Bottle,Carton Box / Polybag,250GM,,30%,1438.0,905.0,18,INDIA,COSMETIFY,"Sesame, Amla, Flaxseed, Coconut, Mustard, Argan Oils & Aprajita (Blue Tea), Charcoal, Kaolin Clay, AHA & BHA","Softens, nourishes, exfoliates","Apply, massage lightly, rinse",Deep nourishment and softness in one blend,• Soft & smooth • Polishing care • Nutrient-rich,,,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Nefol hair oil + face serum -(Nourish & Treat Duo ),nefol-hair-oil-face-serum-nourish-treat-duo,NEFOL,NC2482,33059090,Nefol Nourish & Treat Duo – Hair Oil & Face Serum for Hair & Skin Revival,Hair & Skin Rejuvenation,combo packs,Oil + Serum,Hair & Skin Care,"All Hair Types (straight, wavy, curly, coily)",200ml+30ml=230ml,Pack Of 2,Hair & Skin Care,Pump Bottle+Plastic Oil Bottle,Carton Box / Polybag,230ML,,30%,1678.0,1056.0,18,INDIA,COSMETIFY,"Sesame, Amla, Flaxseed, Coconut, Mustard, Argan Oils &  Aprajita (Blue Tea), Green Tea, White Tea, Brahmi","Purifies scalp, strengthens roots, detoxifies","Massage scalp, leave 15–20 min, rinse",Detox and shine combo for hair strength and scalp clarity,• Detox + shine • Strengthens roots • Cleans buildup,,,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Nefol hair oil + face cleanser-( Head Nourish & Cleansing Duo ),nefol-hair-oil-face-cleanser-head-nourish-cleansing-duo,NEFOL,NC2483,33059090,Nefol Head Nourish & Cleansing Duo – Hair Oil & Face Cleanser for Scalp & Skin Purity,Clean & Nourish Combo,combo packs,Oil + Cleanser,Hair & Skin Care,"All Hair Types (straight, wavy, curly, coily)",200ml+100ml=300ml,Pack Of 2,Hair & Skin Care,Pump Bottle+Plastic Oil Bottle,Carton Box / Polybag,300ML,,30%,1368.0,951.0,18,INDIA,COSMETIFY,"Sesame, Amla, Flaxseed, Coconut, Mustard, Argan Oils & Aprajita (Blue Tea), Kakadu Plum, Yuja, Vitamin C & B5","Strengthens shaft, prevents frizz, rejuvenates","Apply, leave 30 min, rinse",Ayurvedic nourishment for scalp balance and softness,• Herbal strength • Frizz control • Smooth texture,,,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Nefol hair oil + wine lotion -(Hair & Body Nourish Duo ),nefol-hair-oil-wine-lotion-hair-body-nourish-duo,NEFOL,NC2484,33059090,Nefol Hair & Body Nourish Duo – Hair Oil & Wine Lotion for Silky Hair & Soft Skin,Moisturize & Smooth,combo packs,Oil + Lotion,Hair & Body Care,"All Hair Types (straight, wavy, curly, coily)",200ml+50gm=250gm,Pack Of 2,Hair & Body Care,Glass jar+Plastic Oil Bottle,Carton Box / Polybag,250GM,,30%,1438.0,905.0,18,INDIA,COSMETIFY,"Sesame, Amla, Flaxseed, Coconut, Mustard, Argan Oils & Aprajita (Blue Tea), Mulberry, Grapeseed","Adds shine, boosts growth, hydrates scalp","Apply twice a week, rinse after 20 min",Brightening and strengthening oil mask,• Glossy shine • Scalp nourishment • Vitamin-rich,,,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Nefol hair lather shampoo+Hair mask +wine lotion ( hair Replenish trio),nefol-hair-lather-shampoohair-mask-wine-lotion-hair-replenish-trio,NEFOL,NC2485,33059090,Nefol Replenish trio- Hair lather shampoo & hair mask & wine lotion,Shine & nourish Hair with Skin,combo packs,Shampoo+Hair mask+ lotion,Hair & Body Care,"All Hair Types (straight, wavy, curly, coily)",300ml+300ml+50g=650,Pack of 3,Hair & Body Care,Glass jar+ Plastic  pump bottles,Carton Box / Polybag,300ml+300ml+50g=650,,30%,2227.0,,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Tea Tree, Biotin, Saw Palmetto & Aprajita (Blue Tea), Shea Butter, Quinoa, Olive Squalane &Aprajita (Blue Tea), Mulberry, Grapeseed","Strengthens hair, adds glow, improves scalp health, removes  dryness and  give acne free skin.","Apply twice a week, rinse after 5 min. Daily use lotion",Revitalizing blend that energizes scalp and adds brilliance. Glow supple skin,• Natural shine • Healthy scalp • Nourishing oils,,,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Nefol hair lather shampoo+Hydrating moisturizer( Daily Care Duo),nefol-hair-lather-shampoohydrating-moisturizer-daily-care-duo,NEFOL,NC2486,33059090,Nefol Daily care duo- Hair lather shampoo + Hydrating moisturizer,Shine & nourish Hair with Skin,combo packs,Shampoo+Hydrating lotion,Hair & Body Care,"All Hair Types (straight, wavy, curly, coily)",300ml+100g=400g,Pack of 2,Hair & Body Care,Glass jar +platic pump bottles,Carton Box / Polybag,400G,,30%,1587.0,,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Tea Tree, Biotin, Saw Palmetto & Aprajita (Blue Tea), Blueberry, Juniper Berry,","Repairs damage,Hydrate skin",Apply twice or thrice and apply lotion daily,Clean scalp  and get hydrated skin,• Natural shine • Healthy hydrated skin,,,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Nefol Hair lather shampoo +hair mask + Furbish scurb (hair &deep Clean Combo),nefol-hair-lather-shampoo-hair-mask-furbish-scurb-hair-deep-clean-combo,NEFOL,NC2487,33059090,Nefol Hair & Deep cleam Combo – Hair lather shampo & hair mask & Furbish Scrub for Nourished Glow,Shine & nourish Hair with Skin,combo packs,Shampoo+ hair mask+furbish scrub,Hair & Body Care,"All Hair Types (straight, wavy, curly, coily)",300ml+300ml+50g=650,Pack 0f 3,Hair & Body Care,Plastic bottles + plastic jar,Carton Box / Polybag,300ml+300ml+50g=650,,30%,2224.0,,18,INDIA,COSMETIFY,"Aprajita (Blue Tea), Tea Tree, Biotin, Saw Palmetto & Aprajita (Blue Tea), Shea Butter, Quinoa, Olive Squalane &  Aprajita (Blue Tea), Papaya Extract, Rice Powder, Tapioca Starch","Strengthens hair, adds glow, improves scalp health, removes  dryness &exfoliate with rice powder",Apply twice or thrice and apply scrub twice a week.,Clean scalp  and get glowing skin,• Natural shine • Healthy hydrated skin,,,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
